|    id |    name |  nvar |  ncon |  nequ |  status | objective | elapsed_time |  iter | dual_feas | primal_feas | neval_obj | neval_grad | neval_cons | neval_jcon | neval_jgrad | neval_jac | neval_jprod | neval_jtprod | neval_hess | neval_hprod | neval_jhprod | neval_residual | neval_jac_residual | neval_jprod_residual | neval_jtprod_residual | neval_hess_residual | neval_jhess_residual | neval_hprod_residual | extrainfo |
|-------|---------|-------|-------|-------|---------|-----------|--------------|-------|-----------|-------------|-----------|------------|------------|------------|-------------|-----------|-------------|--------------|------------|-------------|--------------|----------------|--------------------|----------------------|-----------------------|---------------------|----------------------|----------------------|-----------|
|     1 | Generic |    10 |     0 |     0 | unknown |   4.1e-14 |      1.1e-01 |    96 |  -1.0e+00 |     5.7e-06 |        98 |         82 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     2 | Generic |    10 |     0 |     0 | unknown |   2.5e-10 |      4.2e-02 |   280 |  -1.0e+00 |     1.2e-04 |       282 |        219 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     3 | Generic |    10 |     0 |     0 | unknown |   0.0e+00 |      2.4e-03 |     0 |  -1.0e+00 |     0.0e+00 |         2 |          2 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     4 | Generic |    10 |     0 |     0 | unknown |   3.7e+00 |      1.5e-02 |    90 |  -1.0e+00 |     4.5e-05 |        92 |         64 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     5 | Generic |    50 |     0 |     0 | unknown |   5.2e-13 |      7.9e-02 |   394 |  -1.0e+00 |     1.3e-05 |       396 |        307 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     6 | Generic |    50 |     0 |     0 | unknown |   5.4e-09 |      6.7e-02 |   283 |  -1.0e+00 |     2.5e-04 |       285 |        221 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     7 | Generic |    50 |     0 |     0 | unknown |   0.0e+00 |      3.0e-03 |     0 |  -1.0e+00 |     0.0e+00 |         2 |          2 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     8 | Generic |    50 |     0 |     0 | unknown |   1.1e+02 |      5.0e-02 |   150 |  -1.0e+00 |     7.0e-05 |       152 |        126 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
|     9 | Generic |   100 |     0 |     0 | unknown |   2.1e-13 |      2.1e-01 |   659 |  -1.0e+00 |     1.5e-05 |       661 |        561 |          0 |          0 |           0 |         0 |           0 |            0 |          0 |           0 |            0 |              0 |                  0 |                    0 |                     0 |                   0 |                    0 |                    0 |           |
